frameIndex;frameTime;mfcc[0];mfcc[1];mfcc[2];mfcc[3];mfcc[4];mfcc[5];mfcc[6];mfcc[7];mfcc[8];mfcc[9];mfcc[10];mfcc[11];mfcc[12];mfcc[13];mfcc[14];mfcc[15];mfcc[16];mfcc[17];mfcc[18];mfcc[19];mfcc[20];mfcc[21];mfcc[22];mfcc[23];mfcc[24]
0;0.000000;-8.661849e+001;-3.310680e+001;7.663479e+000;5.255036e+000;9.377173e-001;-9.048885e+000;1.742225e+000;1.662088e+001;-2.660838e+001;1.828705e+001;-2.076989e+000;-5.644648e+000;1.489592e+000;4.737835e+000;-5.143528e+000;2.428705e+000;-2.781378e+000;5.966508e+000;-6.860028e+000;4.169778e+000;-2.193435e+000;3.378163e+000;-3.879731e+000;-4.473040e-001;6.516163e+000
1;0.010000;-6.540519e+001;-1.338325e+001;4.637968e+001;-6.603765e+000;5.775225e+000;1.106212e-001;-1.496773e+001;1.437676e+000;-6.188856e+000;-8.356298e-001;7.585028e+000;-1.736365e+000;5.526149e+000;-7.920408e-002;-4.770482e+000;1.128205e+000;-5.655967e+000;1.094739e-001;2.534533e+000;-1.150990e+000;5.304076e+000;-5.137935e-001;-1.219629e+000;8.777477e-001;-5.263845e+000
2;0.020000;-3.119900e+001;3.010860e+001;-1.979773e+001;-1.038547e+001;1.752446e+001;-1.528964e+001;3.181866e+000;1.008531e+000;9.153428e-001;-8.232758e+000;1.059682e+001;-8.219858e+000;2.436543e+000;-4.182722e-001;2.313759e+000;-6.469788e+000;7.314200e+000;-4.760368e+000;6.153692e-001;5.207886e-001;1.492066e+000;-4.435524e+000;4.502386e+000;-1.560399e+000;-1.766367e+000
3;0.030000;-1.379053e+001;-1.964883e+001;-2.923291e+001;2.264425e+000;-1.217694e+001;2.826144e+000;-2.750759e+000;-5.020600e+000;1.039898e+000;-1.150417e+001;5.761192e+000;-9.164784e+000;1.320902e+001;-2.405220e+000;1.523493e+001;-6.781463e-001;8.309526e+000;-4.050845e+000;-1.928759e+000;-6.754797e+000;-5.837113e+000;-2.331932e+000;-1.503430e+000;3.048354e+000;1.444720e+000
4;0.040000;-4.997346e+001;-2.030413e+000;-4.718232e+001;9.141925e+000;7.671999e-001;2.493937e-001;1.101846e+001;-9.613023e+000;-4.246213e+000;-6.527717e+000;-1.013427e+001;4.212590e+000;1.167401e+000;6.494807e+000;9.253244e+000;2.875421e-001;4.384418e+000;-7.410585e-001;-2.010365e+000;3.179710e+000;-2.887918e+000;-1.366022e-001;-2.922087e+000;-8.170346e+000;-3.166644e+000
5;0.050000;-8.605248e+001;-3.587830e+001;1.022550e+001;1.435022e+001;-2.488465e+001;1.983810e+001;-8.182918e+000;7.417474e-001;-1.616088e+000;6.581566e+000;-8.663898e+000;4.997464e+000;1.223065e+000;-4.691169e+000;3.360848e+000;-1.357665e-002;-1.028666e+000;-1.646525e+000;5.388235e+000;-6.481349e+000;3.998564e+000;-5.865195e-001;-4.271479e-001;-1.518184e+000;3.758248e+000
6;0.060000;-7.740800e+001;-2.493023e+001;-1.119079e+001;3.763888e+001;-1.724800e+001;2.006291e+000;5.463799e+000;3.558364e+000;-2.663577e-002;-8.781394e+000;9.844629e+000;-5.005757e+000;-4.281373e+000;-2.468224e+000;-1.423909e+000;-9.278722e-001;-1.093339e+001;1.414055e+000;-3.551751e+000;-4.911314e+000;-4.516233e+000;-2.818100e+000;2.061263e+000;-8.025931e+000;6.195660e-001
7;0.070000;-8.834617e+001;-3.068655e+001;3.998678e-001;2.333794e+001;-2.617894e+001;1.320521e+001;-6.132323e-001;-1.327389e+000;-3.716263e+000;5.534159e+000;5.388280e-002;-7.519334e+000;9.344369e+000;-4.881010e+000;2.143093e-001;-3.186201e-001;3.463091e+000;-4.147717e+000;2.460373e-001;4.548512e+000;-5.540495e+000;2.754227e+000;-5.196801e-001;1.777746e+000;-4.411500e+000
8;0.080000;-6.028190e+001;-2.038530e+001;-6.666829e+000;8.094009e+000;-1.909455e+001;6.475744e+000;3.864941e+000;-2.057657e+001;1.416166e+001;-3.516487e+000;4.684660e-002;-2.376536e+001;1.406648e+001;6.647657e+000;3.196883e+000;-1.184539e+000;5.090887e+000;9.364927e+000;1.051162e+001;-3.284385e+000;-1.087945e+001;-1.579933e+001;1.040954e+000;-7.553475e+000;6.161841e+000
9;0.090000;-1.443378e+001;-9.134900e+000;-9.109188e+000;2.790282e+000;-2.585092e+001;1.905450e+001;-1.743950e+000;-8.485612e-001;-1.509087e+001;1.002320e+001;-6.777779e+000;-1.316736e+001;-9.643194e+000;1.039513e+000;-4.481116e+000;-1.073304e+001;6.456046e+000;5.139627e+000;3.799855e+000;-5.914346e+000;5.272737e+000;-5.743876e+000;-5.745572e+000;-9.394985e+000;-1.865660e+000
